LANDSLIDE_,LOCATION,COUNTY,QUADRANGLE,CITY,SP-EASTING,SP-NORTHING,Longitude,Latitude,PROCESS,GEOLOGY,SOILCODE,SERIES,CAUSE,STATUS,LENGTH,WIDTH,SCARP,VOLUME,SLOPE,DATES,MITIGATION,COST,COMMENTS,NAME,
LO-200,1257 SW Rocking Horse Ln,Clackamas,Lake Oswego,Lake Oswe,7643569,651332,-122.67597,45.43260,Slump-Earthflow,PHS,13B,Cascade silt loam,Human/Water co,Unfixed,100,175,8,5185,25,Feb-9,"rock fill, temporary drains, unfinished","120,000",Uncontrolled storm runoff saturated side/back yard. Yard has moved 24' ou,,
LO-201,behind 620 SW Tippecanoe Ct,Clackamas,Lake Oswego,Lake Oswe,7642238,649404,-122.68095,45.42721,Earthflow,PHS,48D,Kinton silt loam,Human/Water co,Unfixed,15,25,5,69,40,Feb-9,tarp,30,"off of back patio, visible (in winter) from Boca Raton Dr",,
LO-202,731 SW Oak St,Clackamas,Lake Oswego,Lake Oswe,7644275,642461,-122.67229,45.40833,Earthflow,CRBG/Waverly Hts,93E,"Xerochrepts-Rock outcrop complex, moderately steep",Human/Water co,Fixed,40,40,5,296,30,Feb-9,"rock fill, new storm culvert","40,000","Broken storm runoff culvert beneath property eroded from beneath, threate",,
LO-203,at end of SW Nebraska off of View Point Ter,Multnomah,Lake Oswego,Portland,7643426,667905,-122.67827,45.47802,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water co,Fixed,250,30,8,2222,60,Feb-9,"rock fill, large retaining wall","50,000","Red tagged two houses (along with virtually identical LO-204), very large",,
LO-204,at end of SW Nebraska off of View Point Ter,Multnomah,Lake Oswego,Portland,7643429,667870,-122.67825,45.47793,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water co,Fixed,300,25,8,2222,60,Feb-9,"rock fill, large retaining wall","50,000",large mud flows emanated from these slides into John's Landing below,,
LO-1,SW West Rd. & SW Canal Rd,Clackamas,Lake Oswego,Lake Oswe,7631442,633794,-122.72131,45.38361,Earthflow,Qa/Qff,76B,Salem silt loam,Human/Fill,Fixed,20,20,5,74,25,Feb-9,rock fill,"25,000",,,
LO-2,SW Shadow Wood Rd,Clackamas,Lake Oswego,Lake Oswe,7638044,632459,-122.69549,45.38044,Slump-Earthflow/Debri,Qa/Qff,13D,Cascade silt loam,Human/Fill,Unfixed,45,45,,1125,30,Feb-9,removal,"20,000",200' runout,,
LO-3,I-5 .3 mi S of Corbett overpass,Multnomah,Lake Oswego,Portland,7644692,673327,-122.67390,45.49298,Slump-Earthflow,PHS,50C,Urban land,Human/Cutslope,Fixed,50,175,5,1620,35,Feb-9,rock fill,"110,000",,,
LO-4,I-5 @ SW Multnomah Blvd,Multnomah,Lake Oswego,Portland,7638777,663421,-122.69591,45.46539,Earthflow,Fill,8B,Cascade-urban land complex,Human/Cutslope,Fixed,30,65,3,217,30,Feb-9,rock fill,"18,000",,,
LO-5,I-5 m.p. 293.8,Multnomah,Lake Oswego,Portland,7627191,655819,-122.74023,45.44367,Earthflow,Fill,8B,Cascade-urban land complex,Human/Cutslope,Fixed,15,20,3,33,35,Feb-9,rock fill,"31,500",,,
LO-100,"SW Terwilliger Blvd, ~1 mi N of OR 10",Multnomah,Lake Oswego,Portland,7641665,671454,-122.68550,45.48762,Earthflow,Fill,17E,Goble silt loam,Human/Fill,Fixed,70,150,8,3111,60,Feb-9,rock fill/buttress,"225,000",in paleocomplex,,
LO-101,"SW Terwilliger Blvd, ~100 m N of LO-100",Multnomah,Lake Oswego,Portland,7641684,671518,-122.68544,45.48780,Slump-Earthflow,Fill,17E,Goble silt loam,Human/Fill,Fixed,60,55,7,856,60,Feb-9,rock fill/buttress,,in paleocomplex,,
LO-102,"SW Terwilliger Blvd, across from LO-100",Multnomah,Lake Oswego,Portland,7641630,671442,-122.68564,45.48759,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Fixed,40,200,3,889,35,Feb-9,removal,"40,000",in paleocomplex,,
LO-103,"SW Terwilliger Blvd, N of Charthouse lot",Multnomah,Lake Oswego,Portland,7642091,669833,-122.68367,45.48321,Slump,Fill,17E,Goble silt loam,Human/Fill,Fixed,25,100,8,741,42,Feb-9,gabien,"50,000",,,
LO-104,4320 SW Council Crest Dr,Multnomah,Lake Oswego,Portland,7638656,673177,-122.69741,45.49212,Slump-Earthflow/Debri,Fill,8C,Cascade-urban land complex,Human/Water Co,Fixed,120,200,,,30,Feb-9,rock fill/buttress/ret. wall/drains,"150,000","extensive repairs, may be more costly than reported here",,
LO-105,N. end of Ross Isl. S&G lower lot,Multnomah,Lake Oswego,Portland,7648721,674044,-122.65827,45.49525,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,25,35,3,97,50,Feb-9,none,0,Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-106,N. end of Ross Isl. S&G lower lot,Multnomah,Lake Oswego,Portland,7648794,673857,-122.65796,45.49474,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,60,25,2,111,50,Feb-9,none,0,Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-107,N. end of Ross Isl. S&G lower lot,Multnomah,Lake Oswego,Portland,7648857,673742,-122.65771,45.49443,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,60,30,3,200,50,Feb-9,none,0,Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-108,S. end of Ross Isl. S&G lower lot,Multnomah,Lake Oswego,Portland,7649388,672471,-122.65550,45.49098,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,45,100,4,667,80,Feb-9,removal,0,Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-109,S. end of Ross Isl. S&G lower lot,Multnomah,Lake Oswego,Portland,7649451,672398,-122.65525,45.49079,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,40,120,5,889,80,Feb-9,removal,0,Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-110,S. end of Ross Isl. S&G lower lot,Multnomah,Lake Oswego,Portland,7649607,672252,-122.65463,45.49040,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,60,225,4,2000,80,Feb-9,none,0,Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-111,Barbur Blvd @ Hamilton Ter.,Multnomah,Lake Oswego,Portland,7642831,672393,-122.68106,45.49029,Slump-Earthflow,PHS,18D,Goble-Urban land complex,Human/Cutslope,Fixed,20,25,2,37,30,Feb-9,Jersey barrier,"10,000",,,
LO-112,Barbur Blvd N. of Seymour,Multnomah,Lake Oswego,Portland,7642572,672206,-122.68205,45.48975,Slump-Earthflow,PHS,19E,"Haploxerolls, steep",Human/Cutslope,Unfixed,25,25,3,69,30,Feb-9,removal,"6,000",,,
LO-113,Barbur Blvd S. of Seymour,Multnomah,Lake Oswego,Portland,7642459,672052,-122.68247,45.48932,Slump-Earthflow,PHS,19E,"Haploxerolls, steep",Human/Cutslope,Unfixed,25,20,3,56,35,Feb-9,removal,"115,000",,,
LO-114,Barbur Blvd,Multnomah,Lake Oswego,Portland,7642362,671658,-122.68281,45.48824,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,20,25,2,37,35,Feb-9,removal,"275,000",Repair estimate from ODOT for this entire series of slides on Barbur belo,,
LO-115,Barbur Blvd,Multnomah,Lake Oswego,Portland,7642369,671497,-122.68276,45.48779,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Fixed,50,60,3,333,35,Feb-9,Jersey barrier,0,,,
LO-116,Barbur Blvd,Multnomah,Lake Oswego,Portland,7642448,670942,-122.68240,45.48628,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,30,40,3,133,45,Feb-9,removal,0,,,
LO-117,Barbur Blvd,Multnomah,Lake Oswego,Portland,7642576,670470,-122.68185,45.48499,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,30,20,2,44,40,Feb-9,removal,0,,,
LO-118,Barbur Blvd @ Hwy 10,Multnomah,Lake Oswego,Portland,7642909,669124,-122.68041,45.48133,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,40,60,3,267,50,Feb-9,removal,0,,,
LO-119,Barbur Blvd @ Nevada St,Multnomah,Lake Oswego,Portland,7643078,666073,-122.67943,45.47298,Slump-Earthflow,PHS,8C,Cascade-urban land complex,Human/Cutslope,Unfixed,40,25,5,185,45,Feb-9,removal,0,,,
LO-120,Barbur Blvd @ SW 5th (near Terw.),Multnomah,Lake Oswego,Portland,7642055,665440,-122.68335,45.47117,Slump-Earthflow,PHS,8B,Cascade-urban land complex,Human/Cutslope,Unfixed,30,25,4,111,25,Feb-9,removal,0,,,
LO-121,above 7463 SW Barbur (behind Hollywood Video),Multnomah,Lake Oswego,Portland,7640864,665600,-122.68801,45.47152,Debris Slide,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,30,60,8,533,45,Feb-9,"10' X 60' retaining wall, drains, repave @ top","150,000",drainage from house above/across Caldewmay be causative,,
LO-122,7737 SW Barbur Blvd,Multnomah,Lake Oswego,Portland,7639767,664724,-122.69219,45.46903,Debris Slide,PHS,8B,Cascade-urban land complex,Human/Cutslope,Unfixed,30,25,8,222,65,Feb-9,"Jersey barrier @ bottom, tarped","8,000",,,
LO-123,SW 17th Ave & SW Custer,Multnomah,Lake Oswego,Portland,7638811,665717,-122.69602,45.47168,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Unfixed,20,30,8,178,25,Feb-9,none,0,"Manhole riser stranded away from street, probably drainage convergence",,
LO-124,across from 1515 SW Custer,Multnomah,Lake Oswego,Portland,7639191,665281,-122.69449,45.47052,Earthflow,PHS,8B,Cascade-urban land complex,Human/Water Co,Unfixed,25,100,6,556,30,Feb-9,none,0,"No visible scarp, toe extending over curb",,
LO-125,7460 SW Barbur Blvd (behind La Costa),Multnomah,Lake Oswego,Portland,7641426,665783,-122.68584,45.47206,Debris Slide,PHS,8B,Cascade-urban land complex,Human/Cutslope,Fixed,35,30,4,156,65,Feb-9,"boulder wall, removal","50,000",paleosol evident in scar,,
LO-127,Oaks Bottom (W. of SE Harold St.),Multnomah,Lake Oswego,Portland,7650709,669582,-122.65006,45.48316,Slump-Earthflow,Qff/Qfc,19E,"Haploxerolls, steep",Human/Water Co,Fixed,40,40,3,178,35,96,small ret. wall @ head,"8,000",,,
LO-128,Oaks Bottom (at W. end of SE Reedway St.),Multnomah,Lake Oswego,Portland,7650365,668994,-122.65134,45.48152,Debris Slide,Qff/Qfc,19E,"Haploxerolls, steep",Human/Fill,Unfixed,50,45,7,583,35,"96, r",none,0,Saturation of illegal fill; construction materials/garbage/etc.,,
LO-129,Oaks Bottom ( behind 1346 SE Ramona St.),Multnomah,Lake Oswego,Portland,7650239,668713,-122.65180,45.48074,Earthflow,Qff/Qfc,19E,"Haploxerolls, steep",Human/Water Co,Unfixed,60,10,4,89,35,96,none,0,appears to be in runoff gully from deck above (1346 Ramona),,
LO-130,Oaks Bottom (behind 1306 SE Yukon),Multnomah,Lake Oswego,Portland,7649976,668252,-122.65277,45.47946,Slump-Earthflow,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,25,75,4,278,35,96/97,none,0,"may have had consultancy; fresh cracks en eschelon 6""-12"" deep.  Scarp es",,
LO-131,SE 9th & Sellwood Ave (above Oaks Bottom),Multnomah,Lake Oswego,Portland,7648863,664958,-122.65677,45.47035,Earthflow,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Unfixed,60,120,4,1067,45,Feb-9,none,0,utility poles above head back-rotated; numerous cracks in SE Sellwood,,
LO-132,Beneath Sellwood Bridge,Multnomah,Lake Oswego,Portland,7647488,662976,-122.66192,45.46481,Earthflow,Fill,47A,Sauvie-Rafton-Urban land complex,Natural,Unfixed,25,25,3,69,25,Feb-9,none,0,Streambank erosion and translational gliding (site under water during flo,,
LO-133,Oaks Bottom Park (on trail),Multnomah,Lake Oswego,Portland,7647976,664704,-122.66020,45.46958,Slump-Earthflow,Qff/Qfc,19E,"Haploxerolls, steep",Natural,Fixed,60,60,8,1067,50,Feb-9,"trail restoration, retaining wall, drains (?)","50,000",Missoula Flood rhythmites in Eastmoreland escape structure,,
LO-134,Hwy 43 @ Sellwood Bridge,Multnomah,Lake Oswego,Portland,7645605,662949,-122.66925,45.46460,Earthflow/Rockfall,CRBG,19E,"Haploxerolls, steep",Human/Cutslope,Unfixed,25,20,2,37,70,Feb-9,removal,"5,000",,,
LO-135,Behind Lewis and Clark University,Multnomah,Lake Oswego,Portland,7645881,658496,-122.66771,45.45241,Slump-Earthflow/Debri,PHS,7C,Cascade silt loam,Natural,Fixed,75,40,5,556,45,Feb-9,"geotarp, revegetation with native plants","20,000",Repair labor by student volunteers (cost may be overestimated for materia,,
LO-136,Barbur Blvd ~200 m S. of 13th Ave (just S. of LO-122),Multnomah,Lake Oswego,Portland,7639560,664527,-122.69297,45.46848,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,40,40,6,356,40,Feb-9,"500' two-terrace retaining structure, rock fill","874,000",Major repair job brought about by lobbying of Hillsdale residents.,,
LO-137,Burlingame Fred Meyer Parking lot,Multnomah,Lake Oswego,Portland,7639835,665170,-122.69197,45.47026,Earthflow,PHS,8B,Cascade-urban land complex,Human/Fill,Unfixed,10,25,2,19,30,Feb-9,removal,"5,000",,,
LO-138,Burlingame Fred Meyer Parking lot,Multnomah,Lake Oswego,Portland,7640006,665315,-122.69132,45.47067,Earthflow,PHS,8B,Cascade-urban land complex,Human/Fill,Unfixed,15,10,3,17,35,Feb-9,removal,"5,000",,,
LO-139,SW Bertha St. above Burlingame Fred Meyer,Multnomah,Lake Oswego,Portland,7640190,665479,-122.69062,45.47113,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Fixed,25,20,2,37,40,Feb-9,"Modular retaining wall, rock fill","75,000",,,
LO-140,SW Bertha St. above Burlingame Fred Meyer (20 m E. of,Multnomah,Lake Oswego,Portland,7640485,665518,-122.68947,45.47126,Debris Slide,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,35,35,2,91,40,Feb-9,removal,"10,000",,,
LO-141,Tryon Creek State Park on SW 4th St. trail,Multnomah,Lake Oswego,Portland,7642678,655286,-122.67985,45.44337,Slump-Earthflow/Debri,PHS,7D,Cascade silt loam,Natural,Unfixed,40,170,5,1259,35,Feb-9,none,0,"Trail blown out @ crossing, closed since 1996.  Debris flow runout unknow",,
LO-142,"SW Arnold, .3 mi W from Boones Ferry Rd",Multnomah,Lake Oswego,Portland,7640345,656323,-122.68905,45.44604,Slump-Earthflow,PHS,7D,Cascade silt loam,Human/Cutslope,Fixed,50,130,8,1926,45,Feb-9,gabien,"50,000",signs of continued flow and sloughing in 97/98.,,
LO-143,SW Arnold @ Boones Ferry Rd,Multnomah,Lake Oswego,Portland,7640857,656539,-122.68708,45.44667,Earthflow,PHS,7D,Cascade silt loam,Human/Fill,Unfixed,40,25,3,111,35,Feb-9,none,0,probably runoff from intersection; drains into Arnold Creek,,
LO-144,SW Arnold 35 m W. of LO-142,Multnomah,Lake Oswego,Portland,7640173,656290,-122.68972,45.44594,Slump-Earthflow,PHS,7D,Cascade silt loam,Human/Cutslope,Unfixed,45,30,6,300,40,Feb-9,removal,"5,000",,,
LO-145,SW Arnold across from SW 11th Dr,Multnomah,Lake Oswego,Portland,7640133,656240,-122.68987,45.44580,Slump-Earthflow,PHS,7D,Cascade silt loam,Natural,Unfixed,100,80,6,1778,35,Feb-9,none,0,LO-142 through LO-145 within apparent paleoslide complex.,,
LO-146,SW Terwilliger .25 mi N. of Southridge Dr,Multnomah,Lake Oswego,Portland,7643379,657267,-122.67733,45.44885,Slump-Earthflow,PHS,7D,Cascade silt loam,Human/Cutslope,Unfixed,20,20,4,59,35,Feb-9,none,0,,,
LO-147,SW Arnold between SW 11th Dr and Creightonwood Pl,Multnomah,Lake Oswego,Portland,7639633,656215,-122.69181,45.44569,Debris Slide,PHS,7D,Cascade silt loam,Human/Cutslope,Unfixed,25,60,3,167,35,96,none,0,"despite scarp size, seems surficial; utility pole in middle of slide not",,
LO-148,SW Arnold @ SW 28th Dr,Multnomah,Lake Oswego,Portland,7636174,656358,-122.70530,45.44583,Slump-Earthflow,PHS,8B,Cascade-urban land complex,Natural,Unfixed,25,75,4,278,45,96,none,0,"large intact soil block w/trees in middle of slide, displaced ~10'",,
LO-149,SW Arnold ~100' E from LO-148,Multnomah,Lake Oswego,Portland,7636453,656478,-122.70422,45.44618,Slump-Earthflow,PHS,8B,Cascade-urban land complex,Human/Cutslope,Unfixed,30,15,4,67,45,96,none,0,possibly due to concentrated runoff from above,,
LO-150,SW Arnold at NW corner of Arnold and SW Lancaster,Multnomah,Lake Oswego,Portland,7637126,656584,-122.70161,45.44652,Debris Slide,PHS,8B,Cascade-urban land complex,Human/Cutslope,Unfixed,20,45,3,100,55,96,none,0,shows signs of recent movement,,
LO-151,SW Arnold midway between SW Lancaster and SW 11th Dr,Multnomah,Lake Oswego,Portland,7638513,656445,-122.69620,45.44624,Slump-Earthflow/Debri,PHS,7C,Cascade silt loam,Human/Cutslope,Unfixed,25,35,3,97,60,96/97,none,0,walls to either side of slide gone in toe area; recent movement removing,,
LO-152,11025 SW Boones Ferry Rd,Multnomah,Lake Oswego,Portland,7641016,656047,-122.68641,45.44533,Slump-Earthflow,PHS,11C,Cornelius-Urban land complex,Human/Cutslope,Fixed,30,150,4,667,40,96,"gabien and rock fill, horizontal drains","65,000","ongoing activity, signs of material ""pouring"" over gabien",,
LO-153,"SW Boones Ferry Rd, ~200' N. of LO-152",Multnomah,Lake Oswego,Portland,7640975,656157,-122.68658,45.44563,Debris Slide,PHS,11C,Cornelius-Urban land complex,Human/Cutslope,Fixed,20,50,2,74,40,96,"revegetated, geofabric(??)","10,000",,,
LO-154,"SW Boones Ferry Rd, ~100' N of Stephenson St",Multnomah,Lake Oswego,Portland,7641196,654340,-122.68553,45.44067,Rockfall,Boring Lava,7E,Cascade silt loam,Human/Cutslope,Unfixed,15,25,6,83,50,96,none,0,Appears to be basalt column toppling/slide; saturated intercolumn joints?,,
LO-155,"SW Boones Ferry Rd, ~300' SW of Stephenson St",Multnomah,Lake Oswego,Portland,7640872,653974,-122.68675,45.43964,Slump-Earthflow/Rockf,Boring Lava/PHS,8B,Cascade-urban land complex,Human/Cutslope,Fixed,45,200,8,2667,70,96/97,"regrading, seeded, jersey barriers @ bottom","50,000",Slumping at column/soil interface; well developed columns intact at W end,,
